match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by,Year,best_of_game,regular_tiebreak_trigger,final_set_tiebreak_trigger
20191007-M-Shanghai_Masters-R64-Mikhail_Kukushkin-Miomir_Kecmanovic,mikhail_kukushkin,miomir_kecmanovic,r,r,m,20191007,shanghai_masters,r64,,,hard,Damiano Torella,3,1,Edged,2019,6,6,6
20191007-M-Shanghai_Masters-R64-Andy_Murray-Juan_Ignacio_Londero,andy_murray,juan_ignacio_londero,r,r,m,20191007,shanghai_masters,r64,19:40,Center Court 1,hard,Greg Allensworth,3,1,Zindaras,2019,6,6,6
20191007-M-Santo_Domingo_CH-R64-Marcelo_Arevalo-Victor_Estrella,marcelo_arevalo,victor_estrella,r,r,m,20191007,santo_domingo_ch,r64,21:40,Centre,clay,,3,1,Zindaras,2019,6,6,6
20191005-M-Beijing-SF-Stefanos_Tsitsipas-Alexander_Zverev,stefanos_tsitsipas,alexander_zverev,r,r,m,20191005,beijing,sf,22:15,Diamond,hard,Carlos Bernardes,3,1,Carrie,2019,6,6,6
20191005-M-Beijing-SF-Karen_Khachanov-Dominic_Thiem,karen_khachanov,dominic_thiem,r,r,m,20191005,beijing,sf,,,hard,Mohamed El Jennati,3,1,Edged,2019,6,6,6
20191004-M-Beijing-QF-Sam_Querrey-Alexander_Zverev,sam_querrey,alexander_zverev,r,r,m,20191004,beijing,qf,19:30,Diamond,hard,Mohamed Lahyani,3,1,Carrie,2019,6,6,6
20191004-M-Beijing-QF-John_Isner-Stefanos_Tsitsipas,john_isner,stefanos_tsitsipas,r,r,m,20191004,beijing,qf,17:05,Lotus,hard,Mohamed El Jennati,3,1,Carrie,2019,6,6,6
20191001-M-Beijing-R32-Stefanos_Tsitsipas-Dusan_Lajovic,stefanos_tsitsipas,dusan_lajovic,r,r,m,20191001,beijing,r32,16:05,Lotus,hard,Mohamed Fitouhi,3,1,Carrie,2019,6,6,6
20191001-M-Beijing-R32-Felix_Auger_Aliassime-Albert_Ramos,felix_auger_aliassime,albert_ramos,r,l,m,20191001,beijing,r32,1:10 PM,2,hard,Manuel Messina,3,1,Carrie,2019,6,6,6
20190930-M-Beijing-R32-Grigor_Dimitrov-Andrey_Rublev,grigor_dimitrov,andrey_rublev,r,r,m,20190930,beijing,r32,13:40:00,Diamond,hard,Manuel Messina,3,1,Ludo,2019,6,6,6
20190930-M-Beijing-R32-Alexander_Zverev-Frances_Tiafoe,alexander_zverev,frances_tiafoe,r,r,m,20190930,beijing,r32,18:00,Diamond,hard,Mohamed Lahyani,3,1,Carrie,2019,6,6,6
20190928-M-Zhuhai-SF-Roberto_Bautista_Agut-Alex_De_Minaur,roberto_bautista_agut,alex_de_minaur,r,r,m,20190928,zhuhai,sf,,,hard,Manuel Messina,3,1,Edged,2019,6,6,6
20190926-M-Zhuhai-R16-Zhizhen_Zhang-Andreas_Seppi,zhizhen_zhang,andreas_seppi,r,r,m,20190926,zhuhai,r16,13:35,Center,hard,Alexandre Juge,3,1,Zindaras,2019,6,6,6
20190926-M-Zhuhai-R16-Andy_Murray-Alex_De_Minaur,andy_murray,alex_de_minaur,r,r,m,20190926,zhuhai,r16,20:50,Center,hard,Aurelie Tourte,3,1,Zindaras,2019,6,6,6
20190926-M-Florence_CH-R16-Jaume_Munar-Robin_Haase,jaume_munar,robin_haase,r,r,m,20190926,florence_ch,r16,19:50,Grandstand,clay,,3,1,Zindaras,2019,6,6,6
20190924-M-Zhuhai-R32-Andy_Murray-Tennys_Sandgren,andy_murray,tennys_sandgren,r,r,m,20190924,zhuhai,r32,19:40,Centre,hard,Manuel Messina,3,1,Zindaras,2019,6,6,6
20190922-M-Laver_Cup-RR-Taylor_Fritz-Dominic_Thiem,taylor_fritz,dominic_thiem,r,r,m,20190922,laver_cup,rr,14:35,,hard,Aurelie Tourte,3,2,Carrie,2019,6,6,6
20190922-M-Laver_Cup-RR-Milos_Raonic-Alexander_Zverev,milos_raonic,alexander_zverev,r,r,m,20190922,laver_cup,rr,19:00,,hard,Mohamed Lahyani,3,2,Carrie,2019,6,6,6
20190922-M-Laver_Cup-RR-John_Isner-Roger_Federer,john_isner,roger_federer,r,r,m,20190922,laver_cup,rr,17:00,,hard,John Blom,3,2,Carrie,2019,6,6,6
20190921-M-Laver_Cup-RR-Roger_Federer-Nick_Kyrgios,roger_federer,nick_kyrgios,r,r,m,20190921,laver_cup,rr,,,hard,Mohamed Lahyani,3,2,Carrie,2019,6,6,6
20190921-M-Laver_Cup-RR-Milos_Raonic-Rafael_Nadal,milos_raonic,rafael_nadal,r,l,m,20190921,laver_cup,rr,,,hard,John Blom,3,2,Carrie,2019,6,6,6
20190921-M-Laver_Cup-RR-John_Isner-Alexander_Zverev,john_isner,alexander_zverev,r,r,m,20190921,laver_cup,rr,,,hard,Thomas Sweeney,3,2,Carrie,2019,6,6,6
20190920-M-St_Petersburg-QF-Andrey_Rublev-Daniil_Medvedev,andrey_rublev,daniil_medvedev,r,r,m,20190920,st_petersburg,qf,8:05 PM,Centre,hard,Gianluca Moscarella,3,1,Carrie,2019,6,6,6
20190920-M-Laver_Cup-RR-Taylor_Fritz-Stefanos_Tsitsipas,taylor_fritz,stefanos_tsitsipas,r,r,m,20190920,laver_cup,rr,19:00,,hard,Christian Rask,3,2,Carrie,2019,6,6,6
