match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by,Year,best_of_game,regular_tiebreak_trigger,final_set_tiebreak_trigger
20220126-W-Australian_Open-QF-Iga_Swiatek-Kaia_Kanepi,iga_swiatek,kaia_kanepi,r,r,w,20220126,australian_open,qf,13:15,Rod Laver Arena,hard,Marija Cicak,5,2,Zindaras,2022,6,6,6
20220125-W-Australian_Open-QF-Jessica_Pegula-Ashleigh_Barty,jessica_pegula,ashleigh_barty,r,r,w,20220125,australian_open,qf,19:25,Rod Laver Arena,hard,Aurelie Tourte,5,2,Zindaras,2022,6,6,6
20220122-W-Australian_Open-R32-Ashleigh_Barty-Camila_Giorgi,ashleigh_barty,camila_giorgi,r,r,w,20220122,australian_open,r32,6pm,Rod Laver Arena,hard,Marijana Veljovi?,5,2,Edo,2022,6,6,6
20220121-W-Australian_Open-R32-Marta_Kostyuk-Paula_Badosa,marta_kostyuk,paula_badosa,r,r,w,20220121,australian_open,r32,13:00,Margaret Court Arena,hard,Thomas Sweeney,5,2,Zindaras,2022,6,6,6
20220120-W-Australian_Open-R64-Samantha_Stosur-Anastasia_Pavlyuchenkova,samantha_stosur,anastasia_pavlyuchenkova,r,r,w,20220120,australian_open,r64,11:20,Kia Arena,hard,Marijana Veljovic,5,2,Zindaras,2022,6,6,6
20220119-W-Australian_Open-R64-Tereza_Martincova-Camila_Giorgi,tereza_martincova,camila_giorgi,r,r,w,20220119,australian_open,r64,2pm,John Cain,hard,Timothee Mevel,5,2,Edo,2022,6,6,6
20220118-W-Australian_Open-R128-Robin_Anderson-Samantha_Stosur,robin_anderson,samantha_stosur,r,r,w,20220118,australian_open,r128,11:10,Kia Arena,hard,Isabell Seefried,5,2,Zindaras,2022,6,6,6
20220118-W-Australian_Open-R128-Rebecca_Marino-Marie_Bouzkova,rebecca_marino,marie_bouzkova,r,r,w,20220118,australian_open,r128,,14,hard,Mohamed Lahyani,5,2,Zindaras,2022,6,6,6
20220118-W-Australian_Open-R128-Arantxa_Rus-Tamara_Zidansek,arantxa_rus,tamara_zidansek,l,r,w,20220118,australian_open,r128,,17,hard,Juan Zhang,5,2,Zindaras,2022,6,6,6
20220117-W-Australian_Open-R128-Viktoria_Kuzmova-Xiyu_Wang,viktoria_kuzmova,xiyu_wang,r,l,w,20220117,australian_open,r128,,,hard,,5,2,andy,2022,6,6,6
